,song_id,song,danceability,energy,key,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,0,Justified & Ancient - Stand by the Jams,0.617,0.872,8.0,0.048,0.0158,0.112,0.408,0.504,111.458
1,1,I Know You Want Me (Calle Ocho),0.825,0.743,2.0,0.149,0.0142,2.12e-05,0.237,0.8,127.045
2,2,From the Bottom of My Broken Heart,0.677,0.665,7.0,0.0305,0.56,1.01e-06,0.338,0.706,74.981
3,3,Apeman - 2014 Remastered Version,0.683,0.728,9.0,0.259,0.568,5.08e-05,0.0384,0.833,75.311
4,4,You Can't Always Get What You Want,0.319,0.627,0.0,0.0687,0.675,7.29e-05,0.289,0.497,85.818
5,5,Don't Stop - 2004 Remaster,0.671,0.71,9.0,0.0356,0.0393,1.12e-05,0.0387,0.834,118.745
6,6,Eastside (with Halsey & Khalid),0.56,0.68,6.0,0.321,0.555,0.0,0.116,0.319,89.391
7,7,Something About The Way You Look Tonight - Edit Version,0.48,0.628,6.0,0.0262,0.174,3.28e-05,0.0753,0.541,143.412
8,8,Juke Box Hero,0.357,0.653,9.0,0.0654,0.0828,0.0,0.0844,0.522,176.647
9,9,Mercy,0.562,0.681,11.0,0.0871,0.113,0.0,0.11,0.357,148.064
10,10,It's Like That,0.852,0.874,7.0,0.0427,0.0168,0.45,0.133,0.666,129.029
11,11,Here Without You,0.557,0.533,10.0,0.0252,0.0492,0.0,0.205,0.233,143.994
12,12,Listen to the Band - Single Version,0.26,0.659,2.0,0.0625,0.114,2.95e-05,0.499,0.537,184.38
13,13,With A Little Luck - Remastered 1993,0.652,0.372,6.0,0.0321,0.069,0.000197,0.0923,0.283,111.984
14,14,Sing,0.818,0.67,8.0,0.0472,0.304,1.22e-06,0.0601,0.939,119.988
15,15,Mississippi,0.605,0.731,10.0,0.0358,0.24,0.000459,0.257,0.638,123.332
16,16,Flava,0.813,0.754,4.0,0.0494,0.166,0.0,0.121,0.923,112.962
17,17,Baby Sittin' Boogie - Radio Version,0.483,0.533,6.0,0.145,0.805,0.0,0.161,0.878,140.11
18,18,Dr. Love,0.736,0.563,2.0,0.0312,0.0165,0.0,0.166,0.96,102.021
19,19,Landslide (Glee Cast Version) (feat. Gwyneth Paltrow),0.637,0.416,2.0,0.0269,0.434,0.0,0.139,0.588,145.922
20,20,I'm Free,0.648,0.936,7.0,0.0797,0.0981,2.24e-05,0.0712,0.856,103.272
21,21,"Writing's On The Wall - From ""Spectre"" Soundtrack",0.261,0.302,5.0,0.0339,0.769,2.57e-06,0.0863,0.0883,81.418
22,22,If You Can't Give Me Love - 2017 Remaster,0.667,0.66,9.0,0.0348,0.117,0.000854,0.0707,0.905,133.867
23,23,Take Yourself Home,0.364,0.606,5.0,0.0831,0.0748,0.000322,0.106,0.289,99.73
24,24,Give It Up,0.862,0.624,3.0,0.0565,0.0192,0.000153,0.0465,0.882,124.896
25,25,Homecoming,0.393,0.958,2.0,0.0871,0.00966,0.0,0.214,0.323,150.074
26,26,Funhouse - Main Version - Clean,0.789,0.84,11.0,0.0361,0.00616,0.0,0.0646,0.821,103.957
27,27,Dangerous Woman,0.677,0.604,7.0,0.0385,0.0612,0.0,0.353,0.297,134.052
28,28,Abergavenny,0.609,0.895,11.0,0.0695,0.162,0.504,0.522,0.792,123.102
29,29,That's All You Gotta Do,0.587,0.65,1.0,0.0283,0.381,1.01e-06,0.105,0.96,98.137
30,30,Its Alright,0.66,0.88,11.0,0.0375,0.0808,3.48e-06,0.15,0.862,103.395
31,31,Metal Guru,0.307,0.95,11.0,0.138,0.00054,7.43e-05,0.313,0.524,127.895
32,32,Heaven Is A Place On Earth,0.64,0.852,1.0,0.0345,0.0243,1.82e-06,0.0497,0.793,122.902
33,33,Paper In Fire,0.607,0.905,4.0,0.0426,0.00122,0.000261,0.0624,0.533,141.985
34,34,Wrecking Ball,0.466,0.403,5.0,0.0337,0.395,0.0,0.111,0.337,119.81
35,35,Deep End,0.455,0.296,2.0,0.0399,0.761,0.0,0.0783,0.31,171.744
36,36,Stay The Night - Featuring Hayley Williams Of Paramore,0.596,0.738,8.0,0.0411,0.109,0.0,0.0947,0.461,127.961
37,37,Californication,0.592,0.767,9.0,0.027,0.0021,0.00165,0.127,0.328,96.483
38,38,We Will Rock You - Remastered 2011,0.692,0.497,2.0,0.119,0.676,0.0,0.259,0.475,81.308
39,39,My Island Home,0.488,0.364,7.0,0.0321,0.0714,0.0,0.0756,0.544,79.707
40,40,7 Days,0.659,0.812,4.0,0.0487,0.23,0.0,0.0951,0.888,83.014
41,41,Shoop Shoop Diddy Wop Cumma Cumma Wang Dang,0.706,0.695,2.0,0.411,0.226,0.0,0.0496,0.972,181.337
42,42,Regardless,0.672,0.393,9.0,0.0477,0.551,1.05e-05,0.105,0.319,130.086
43,43,Convoy,0.68,0.543,5.0,0.141,0.857,0.000116,0.0881,0.796,111.62
44,44,Pretty Flamingo,0.553,0.594,7.0,0.0279,0.114,0.0,0.743,0.841,113.506
45,45,You Know I'm No Good,0.705,0.806,9.0,0.0309,0.0132,0.00428,0.0701,0.734,103.383
46,46,Turn Around (feat. Ne-Yo),0.59,0.874,6.0,0.0263,0.0179,6.46e-06,0.134,0.607,125.018
47,47,Morning After Dark (Featuring Nelly Furtado & SoShy),0.734,0.927,8.0,0.042,0.076,0.00134,0.0465,0.901,118.039
48,48,Somebody That I Used To Know,0.864,0.515,0.0,0.0367,0.571,7.92e-05,0.0947,0.755,129.048
49,49,Matthew & Son - Stereo Version,0.534,0.327,4.0,0.0335,0.0503,0.00213,0.281,0.767,139.867
50,50,Heaven & Hell - US Single Version,0.483,0.676,9.0,0.0323,0.505,6.32e-05,0.297,0.502,116.418
51,51,You Are The Sunshine Of My Life,0.471,0.574,11.0,0.0509,0.802,2.55e-06,0.0931,0.661,131.892
52,52,Too Good At Goodbyes,0.681,0.372,5.0,0.0432,0.64,0.0,0.169,0.476,91.873
53,53,You're the One,0.485,0.721,5.0,0.0348,0.479,0.0,0.67,0.88,136.892
54,54,We Made You,0.924,0.853,2.0,0.0792,0.107,1.45e-06,0.129,0.67,114.003
