song_id,track_uri,track_name,artist,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,tempo,kmeans_labels,agglo_labels,gaussian_labels
0,spotify:track:1XAZlnVtthcDZt2NI1Dtxo,Justified & Ancient - Stand by the Jams,The KLF,0.617,0.872,0.048,0.0158,0.112,0.408,0.504,111.458,0,8,2
1,spotify:track:6a8GbQIlV8HBUW3c6Uk9PH,I Know You Want Me (Calle Ocho),Pitbull,0.825,0.743,0.149,0.0142,2.12e-05,0.237,0.8,127.045,7,6,6
2,spotify:track:70XtWbcVZcpaOddJftMcVi,From the Bottom of My Broken Heart,Britney Spears,0.677,0.665,0.0305,0.56,1.01e-06,0.338,0.706,74.981,2,0,3
3,spotify:track:1NXUWyPJk5kO6DQJ5t7bDu,Apeman - 2014 Remastered Version,The Kinks,0.683,0.728,0.259,0.568,5.08e-05,0.0384,0.833,75.311,2,0,5
4,spotify:track:72WZtWs6V7uu3aMgMmEkYe,You Can't Always Get What You Want,The Rolling Stones,0.319,0.627,0.0687,0.675,7.29e-05,0.289,0.497,85.818,1,5,3
5,spotify:track:4bEb3KE4mSKlTFjtWJQBqO,Don't Stop - 2004 Remaster,Fleetwood Mac,0.671,0.71,0.0356,0.0393,1.12e-05,0.0387,0.834,118.745,7,0,1
6,spotify:track:0d2iYfpKoM0QCKvcLCkBao,Eastside (with Halsey & Khalid),"benny blanco, Halsey, Khalid",0.56,0.68,0.321,0.555,0.0,0.116,0.319,89.391,3,1,5
7,spotify:track:5LjSxAIKwyZvQqJ04ZQ0Da,Something About The Way You Look Tonight - Edit Version,Elton John,0.48,0.628,0.0262,0.174,3.28e-05,0.0753,0.541,143.412,5,8,9
8,spotify:track:00qOE7OjRl0BpYiCiweZB2,Juke Box Hero,Foreigner,0.357,0.653,0.0654,0.0828,0.0,0.0844,0.522,176.647,5,3,6
9,spotify:track:3OalxlWH0v14kyBcNBMINt,Mercy,Shawn Mendes,0.562,0.681,0.0871,0.113,0.0,0.11,0.357,148.064,9,1,6
10,spotify:track:0CtkjgZpkgnW7U6WmHsakD,It's Like That,"Run–D.M.C., Jason Nevins",0.852,0.874,0.0427,0.0168,0.45,0.133,0.666,129.029,4,4,2
11,spotify:track:3NLrRZoMF0Lx6zTlYqeIo4,Here Without You,3 Doors Down,0.557,0.533,0.0252,0.0492,0.0,0.205,0.233,143.994,9,2,9
12,spotify:track:09tyJ0VvbLty84iHIV3WQn,Listen to the Band - Single Version,The Monkees,0.26,0.659,0.0625,0.114,2.95e-05,0.499,0.537,184.38,5,7,3
13,spotify:track:73JqQIGZUZxCVfY54RSpCH,With A Little Luck - Remastered 1993,Wings,0.652,0.372,0.0321,0.069,0.000197,0.0923,0.283,111.984,9,2,1
14,spotify:track:6K8qKeWo5MsFED7wCR6Kop,Sing,Ed Sheeran,0.818,0.67,0.0472,0.304,1.22e-06,0.0601,0.939,119.988,8,0,1
15,spotify:track:3tP0kdmWRSqmJAt4nR3ykw,Mississippi,Pussycat,0.605,0.731,0.0358,0.24,0.000459,0.257,0.638,123.332,0,0,3
16,spotify:track:2760p399WNJLX9LGBkjL4Z,Flava,Nathaniel,0.813,0.754,0.0494,0.166,0.0,0.121,0.923,112.962,7,6,1
17,spotify:track:5yJCo7EewUcX9qj5nnk9O2,Baby Sittin' Boogie - Radio Version,Buzz Clifford,0.483,0.533,0.145,0.805,0.0,0.161,0.878,140.11,2,9,5
18,spotify:track:2uiyVyP0Rvl0MgB8ehoc07,Dr. Love,Tina Charles,0.736,0.563,0.0312,0.0165,0.0,0.166,0.96,102.021,8,0,8
19,spotify:track:2J22VgQALSoekF3KCj1nIk,Landslide (Glee Cast Version) (feat. Gwyneth Paltrow),"Glee Cast, Gwyneth Paltrow",0.637,0.416,0.0269,0.434,0.0,0.139,0.588,145.922,3,0,9
20,spotify:track:1O0BTayCdWgQYAYYUynSpe,I'm Free,"The Soup Dragons, Junior Reid",0.648,0.936,0.0797,0.0981,2.24e-05,0.0712,0.856,103.272,7,6,1
21,spotify:track:1PWnAEQcbwQwK759otUbta,"Writing's On The Wall - From ""Spectre"" Soundtrack",Sam Smith,0.261,0.302,0.0339,0.769,2.57e-06,0.0863,0.0883,81.418,1,5,9
22,spotify:track:59mUgn4E4DWcB2lh5oRG2I,If You Can't Give Me Love - 2017 Remaster,Suzi Quatro,0.667,0.66,0.0348,0.117,0.000854,0.0707,0.905,133.867,8,0,1
23,spotify:track:6YndZBGmLySgsVScckWkmO,Take Yourself Home,Troye Sivan,0.364,0.606,0.0831,0.0748,0.000322,0.106,0.289,99.73,9,3,6
24,spotify:track:3yDhZq8f17SmumVmEyCaRN,Give It Up,KC & The Sunshine Band,0.862,0.624,0.0565,0.0192,0.000153,0.0465,0.882,124.896,8,6,1
25,spotify:track:4X8KnalmdKJE4C0vMb8CmD,Homecoming,Hey Monday,0.393,0.958,0.0871,0.00966,0.0,0.214,0.323,150.074,5,3,8
26,spotify:track:5ibhWB91OHgTVVwtVFMLKP,Funhouse - Main Version - Clean,P!nk,0.789,0.84,0.0361,0.00616,0.0,0.0646,0.821,103.957,7,6,1
27,spotify:track:2h1IPjP471JJRSShTHRUhi,Dangerous Woman,Ariana Grande,0.677,0.604,0.0385,0.0612,0.0,0.353,0.297,134.052,9,3,3
28,spotify:track:0IRHUlQ9XCp5aG9NIruLu2,Abergavenny,Marty Wilde,0.609,0.895,0.0695,0.162,0.504,0.522,0.792,123.102,4,7,0
29,spotify:track:71kj6vbwfqjThqsDxhtYPE,That's All You Gotta Do,Brenda Lee,0.587,0.65,0.0283,0.381,1.01e-06,0.105,0.96,98.137,2,0,9
30,spotify:track:4oX4WNqPhgKQrl5W4tdt7V,Its Alright,Deni Hines,0.66,0.88,0.0375,0.0808,3.48e-06,0.15,0.862,103.395,7,6,1
31,spotify:track:0HoMdjB1XwwMlyPfTV7DEj,Metal Guru,T. Rex,0.307,0.95,0.138,0.00054,7.43e-05,0.313,0.524,127.895,5,3,6
32,spotify:track:37Q5anxoGWYdRsyeXkkNoI,Heaven Is A Place On Earth,Belinda Carlisle,0.64,0.852,0.0345,0.0243,1.82e-06,0.0497,0.793,122.902,7,6,1
33,spotify:track:6F8MwPCU40qIrl605yp9dP,Paper In Fire,John Mellencamp,0.607,0.905,0.0426,0.00122,0.000261,0.0624,0.533,141.985,5,8,8
34,spotify:track:6oDPg7fXW3Ug3KmbafrXzA,Wrecking Ball,Miley Cyrus,0.466,0.403,0.0337,0.395,0.0,0.111,0.337,119.81,3,2,9
35,spotify:track:1PZ5mBtpRXZj8aMgQQYcro,Deep End,Birdy,0.455,0.296,0.0399,0.761,0.0,0.0783,0.31,171.744,1,5,9
36,spotify:track:4bT2zLVv2T4GiK9q9KtI0v,Stay The Night - Featuring Hayley Williams Of Paramore,"Zedd, Hayley Williams",0.596,0.738,0.0411,0.109,0.0,0.0947,0.461,127.961,0,1,1
37,spotify:track:34KTEhpPjq6IAgQg2yzJAL,Californication,Red Hot Chili Peppers,0.592,0.767,0.027,0.0021,0.00165,0.127,0.328,96.483,9,3,8
38,spotify:track:4pbJqGIASGPr0ZpGpnWkDn,We Will Rock You - Remastered 2011,Queen,0.692,0.497,0.119,0.676,0.0,0.259,0.475,81.308,1,2,3
39,spotify:track:3Ymi51lilmxnc9eRnfi32D,My Island Home,Warumpi Band,0.488,0.364,0.0321,0.0714,0.0,0.0756,0.544,79.707,3,0,1
40,spotify:track:0gPQTLaqHDgdupKEok7J2x,7 Days,Craig David,0.659,0.812,0.0487,0.23,0.0,0.0951,0.888,83.014,7,6,1
41,spotify:track:4pCSXZwffXEmxYuHAzVIXQ,Shoop Shoop Diddy Wop Cumma Cumma Wang Dang,Monte Video,0.706,0.695,0.411,0.226,0.0,0.0496,0.972,181.337,8,1,6
42,spotify:track:1kpbM1hlD3sQ2rDKbe2guE,Regardless,"Jarryd James, Julia Stone",0.672,0.393,0.0477,0.551,1.05e-05,0.105,0.319,130.086,3,2,9
43,spotify:track:6dGWq08LXuIw6T2oUeHECh,Convoy,C.W. McCall,0.68,0.543,0.141,0.857,0.000116,0.0881,0.796,111.62,2,9,5
44,spotify:track:1UgKjjafmYDSgJ66NbIcBV,Pretty Flamingo,Manfred Mann,0.553,0.594,0.0279,0.114,0.0,0.743,0.841,113.506,6,7,3
45,spotify:track:4SyowQi18ym4zJGJDBnsTj,You Know I'm No Good,Amy Winehouse,0.705,0.806,0.0309,0.0132,0.00428,0.0701,0.734,103.383,7,6,7
46,spotify:track:56qykFnmErHuUzt7FwAlAc,Turn Around (feat. Ne-Yo),"Conor Maynard, Ne-Yo",0.59,0.874,0.0263,0.0179,6.46e-06,0.134,0.607,125.018,0,8,8
